# output table from 2017-06-01_mg_dicke1_QSL_traj1-analysis.ipynb
,n_nodes,T,iters,err,rf
0,2,0.5,15000,0.22731036827303785,./data/dicke1_QSL_1traj/rf_2nodes_T0_50
1,2,1.0,15000,0.007124834463591467,./data/dicke1_QSL_1traj/rf_2nodes_T1
2,2,1.25,15000,0.05150015863242463,./data/dicke1_QSL_1traj/rf_2nodes_T1_25
3,2,1.5,15000,0.00022573716230633867,./data/dicke1_QSL_1traj/rf_2nodes_T1_50
4,2,1.75,15000,0.10000041685642158,./data/dicke1_QSL_1traj/rf_2nodes_T1_75
5,2,2.0,15000,0.00034653540232310043,./data/dicke1_QSL_1traj/rf_2nodes_T2
6,2,2.25,15000,0.05016116627642442,./data/dicke1_QSL_1traj/rf_2nodes_T2_25
7,2,2.5,15000,8.566246659957866e-05,./data/dicke1_QSL_1traj/rf_2nodes_T2_50
8,2,3.0,15000,2.4907653422667764e-05,./data/dicke1_QSL_1traj/rf_2nodes_T3
9,2,4.0,10000,5.7370199065820415e-06,./data/dicke1_QSL_1traj/rf_2nodes_T4
10,2,5.0,1000,7.740700234903919e-06,./data/dicke1_QSL_1traj/rf_2nodes_T5
11,2,7.0,1000,4.863586878789405e-07,./data/dicke1_QSL_1traj/rf_2nodes_T7
12,2,10.0,382,1.330086170758804e-06,./data/dicke1_QSL_1traj/rf_2nodes_T10
13,2,20.0,1000,1.593273528666117e-07,./data/dicke1_QSL_1traj/rf_2nodes_T20
14,2,50.0,2000,1.0305637376806231e-07,./data/dicke1_QSL_1traj/rf_2nodes_T50
15,2,70.0,2000,2.0800149136412927e-07,./data/dicke1_QSL_1traj/rf_2nodes_T70
16,3,0.5,15000,0.18833658075820003,./data/dicke1_QSL_1traj/rf_3nodes_T0_50
17,3,1.0,10000,0.03565621158081811,./data/dicke1_QSL_1traj/rf_3nodes_T1
18,3,1.25,15000,0.003187909059860994,./data/dicke1_QSL_1traj/rf_3nodes_T1_25
19,3,1.5,15000,0.10119987028088262,./data/dicke1_QSL_1traj/rf_3nodes_T1_50
20,3,1.75,15000,0.10051529418683525,./data/dicke1_QSL_1traj/rf_3nodes_T1_75
21,3,2.0,10000,0.050278959002866275,./data/dicke1_QSL_1traj/rf_3nodes_T2
22,3,2.25,15000,0.00011495956656992767,./data/dicke1_QSL_1traj/rf_3nodes_T2_25
23,3,2.5,15000,5.386868531931377e-05,./data/dicke1_QSL_1traj/rf_3nodes_T2_50
24,3,3.0,10000,1.5840325211735617e-05,./data/dicke1_QSL_1traj/rf_3nodes_T3
25,3,4.0,4000,1.0237132130663795e-05,./data/dicke1_QSL_1traj/rf_3nodes_T4
26,3,5.0,4000,1.964770216966727e-06,./data/dicke1_QSL_1traj/rf_3nodes_T5
27,3,8.0,2000,1.2807640683565324e-06,./data/dicke1_QSL_1traj/rf_3nodes_T8
28,3,9.0,2000,9.86863118890291e-07,./data/dicke1_QSL_1traj/rf_3nodes_T9
29,3,10.0,2000,5.818666956036722e-07,./data/dicke1_QSL_1traj/rf_3nodes_T10
30,3,15.0,608,1.423100268960198e-06,./data/dicke1_QSL_1traj/rf_3nodes_T15
31,3,20.0,786,2.8256030792928044e-07,./data/dicke1_QSL_1traj/rf_3nodes_T20
32,3,50.0,2000,3.3890023976024253e-07,./data/dicke1_QSL_1traj/rf_3nodes_T50
33,3,70.0,2000,4.5568796713801873e-07,./data/dicke1_QSL_1traj/rf_3nodes_T70
34,4,0.5,15000,0.27552210818365586,./data/dicke1_QSL_1traj/rf_4nodes_T0_50
35,4,0.75,15000,0.14113336311809144,./data/dicke1_QSL_1traj/rf_4nodes_T0_75
36,4,1.0,15000,0.007932154504331601,./data/dicke1_QSL_1traj/rf_4nodes_T1
37,4,1.25,15000,0.003164804294696899,./data/dicke1_QSL_1traj/rf_4nodes_T1_25
38,4,1.5,15000,0.0015799258076260037,./data/dicke1_QSL_1traj/rf_4nodes_T1_50
39,4,1.75,15000,0.0007336791036017809,./data/dicke1_QSL_1traj/rf_4nodes_T1_75
40,4,2.0,15000,0.05034080736598445,./data/dicke1_QSL_1traj/rf_4nodes_T2
41,4,2.5,15000,0.00010360570468248564,./data/dicke1_QSL_1traj/rf_4nodes_T2_50
42,4,3.0,15000,3.612745109626836e-05,./data/dicke1_QSL_1traj/rf_4nodes_T3
43,4,4.0,10000,8.749773843796937e-06,./data/dicke1_QSL_1traj/rf_4nodes_T4
44,4,5.0,10000,1.6849068392721378e-06,./data/dicke1_QSL_1traj/rf_4nodes_T5
45,4,6.0,10000,8.279642337294391e-07,./data/dicke1_QSL_1traj/rf_4nodes_T6
46,4,7.0,10000,4.281663127381208e-07,./data/dicke1_QSL_1traj/rf_4nodes_T7
47,4,8.0,4000,4.5456254758047265e-06,./data/dicke1_QSL_1traj/rf_4nodes_T8
48,4,9.0,4000,3.5134227985844646e-06,./data/dicke1_QSL_1traj/rf_4nodes_T9
49,4,10.0,4000,2.7950707807145037e-06,./data/dicke1_QSL_1traj/rf_4nodes_T10
50,4,15.0,1000,9.481687145318496e-06,./data/dicke1_QSL_1traj/rf_4nodes_T15
