# convergence data
# read data in Python with:
#     import pandas as pd
#     df = pd.read_csv(open('./paperfig_data/convergence.csv'), index_col=0, header=[4,5])
category,independent,independent,independent,independent,independent,independent,independent,independent,rho,cross,cross,cross,cross,cross,cross,cross
n_trajs,1,2,4,8,16,32,64,128,1,2,4,8,16,32,64,128
iter,,,,,,,,,,,,,,,,
0,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.7717925147164081,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688,0.8375982070474688
10,0.8244276548779854,0.8221791273974478,0.8222814080834998,0.823548228102251,0.8229870948797501,0.8226921223271602,0.8229428504673371,0.8218289720999886,0.7606701263625602,0.7901055448285249,0.7883113125534049,0.7962535479005681,0.7884511073865555,0.7928549726549239,0.7897817346425532,0.7902979325556417
20,0.8063227301769211,0.7993835216528326,0.8039634170924075,0.8063854286788629,0.8052034818107089,0.8053781861316138,0.8060799382914954,0.804637157779875,0.7483141764915826,0.7393666620256825,0.714329616135914,0.737592583026234,0.7252619236311831,0.7309247977880097,0.7221504246372528,0.7238165013052975
30,0.7808708538139797,0.7817944376911463,0.7869780880251718,0.7843607255474836,0.784277858999754,0.7859582750055253,0.7870388813764966,0.7849177419900195,0.7343863461731491,0.6550055277358751,0.601002746686315,0.6459734501836842,0.6162542628249064,0.6343080379433368,0.6181899200115866,0.6208129317167699
40,0.761006609901104,0.7573335237467685,0.7654143497267836,0.7590705775544051,0.7621521648928126,0.7621267712424267,0.7641345728927106,0.7617682741487726,0.7184250349273028,0.5309182471758762,0.4453696930499669,0.5115067226682315,0.4692394456878871,0.48216779010123556,0.4681689710933633,0.46820729422824703
50,0.7332139525780622,0.7369274062119793,0.738800204948395,0.7311548426757042,0.7326247531500107,0.7353471586316904,0.7366981179157456,0.7328024915449283,0.6997904365730356,0.35454691036762853,0.27678959618250887,0.3270214619778624,0.2885837730904348,0.3054839509359437,0.2932923649191619,0.29380322468186393
60,0.7006353061986493,0.7026487742962125,0.7075125767980274,0.6982599468009822,0.6972540334846387,0.7013373638777937,0.7043853570399264,0.6988260881860213,0.6775797913900574,0.19040069858528208,0.1482787131947193,0.17498662883014215,0.1539865448355613,0.16538095271630715,0.1576195504561012,0.157927793084081
70,0.6451059059298664,0.6649703256588606,0.6694372297981428,0.6563756697270331,0.6579025089105545,0.6632903781685556,0.6620088588647398,0.6560275786942681,0.6504960216683602,0.09700587039914033,0.07995140249383725,0.0940869347972928,0.08302572597367974,0.08875039929850426,0.08397265518577024,0.08394703732516229
80,0.5701222193204477,0.6096680728594117,0.6227574087366078,0.6025551744759031,0.6047849386587477,0.612377105991821,0.6119435917638467,0.6043884376494385,0.6166483347029492,0.05536890275390627,0.048399279659942174,0.05457818100177614,0.04962377267040474,0.05251944296645583,0.05016443808453763,0.05010844882249599
90,0.5086188147741694,0.5461745908717665,0.5646113693720451,0.5429438453571184,0.5464684231251442,0.5479990123719365,0.5501166339155119,0.5405627515792941,0.573276148121984,0.03773782797167269,0.03440942960258597,0.03731191529211819,0.03490319652934293,0.03627453791705981,0.035076422127706675,0.035036865182107024
100,0.4250653124949991,0.4691798093732098,0.4944437649478022,0.4662508218372057,0.47056021826179517,0.47944970473514115,0.4792092824544202,0.46958145949335295,0.5164885985419303,0.029123372251971702,0.027670190694700003,0.028949089422745655,0.027668157977084995,0.02841682142066282,0.027745652958778733,0.02772248258791299
110,0.3374048405044119,0.38902212673176895,0.415184883669769,0.3852241883173779,0.3927723828455887,0.39921517563230613,0.39895598248407704,0.3913861252886508,0.44155257283736404,0.024516498770014494,0.02383899331579986,0.02431413348310074,0.02363925025161162,0.024058700327013183,0.023596638790090996,0.023601019268999046
120,0.24979063578954075,0.30288531463879864,0.3339894798144698,0.3124162514223865,0.316981918503075,0.32030922248091265,0.31879410283343923,0.3111928576684071,0.3455967670048634,0.02156925867141768,0.021153011153776102,0.02136984734954739,0.020910409923783457,0.021250182216508318,0.020857748096353212,0.020878854848843997
130,0.18024492987188578,0.2282707453086943,0.2515483888372061,0.2408422123816738,0.2424532544696827,0.24705365514741984,0.24220044957882592,0.23714737544154119,0.23584173881777493,0.01937773317032876,0.019161034903899976,0.019200077442837027,0.0189079267307547,0.01916532258268644,0.0188152590240821,0.018830164481869582
140,0.132171529566103,0.1768416300885356,0.19023546561317617,0.17677497005377996,0.1801733596567151,0.1829250746935377,0.17892303385961617,0.17554223681746917,0.13705556846233968,0.017614910676612028,0.01751210333702724,0.01747433401830767,0.017224124339068947,0.01745933186074644,0.01713909383452028,0.017150260826365504
150,0.09462046807318791,0.12657661221067873,0.14043528140450912,0.13062535827494925,0.13317340131346844,0.13533814170610947,0.13110435134687648,0.12776720489174165,0.07339384153934692,0.01609663087016422,0.016075907892521335,0.01601399043251761,0.015790790835236823,0.015982143725512765,0.01567854903625865,0.015691954026315402
160,0.06984382994691729,0.09171287279217866,0.10283822941423759,0.09749625654176497,0.09685077063940728,0.09997607503836226,0.09601426286688652,0.09410319204421325,0.04292017127567527,0.014741413141423187,0.014752109601849028,0.014699853823012976,0.014489068775364489,0.014649425328592036,0.014366860225539235,0.014384087333845663
170,0.053764650434856676,0.07043291800057883,0.07776000324959431,0.0721869032900413,0.0721172881421841,0.07487250279451074,0.07185925660339854,0.07096976146836464,0.030334664566097458,0.013507207174424884,0.013553685342664212,0.013472936104285127,0.013285119469683582,0.013435095724501744,0.013172156255403022,0.013188592126212262
180,0.045030983534066205,0.05472485381012171,0.05973656039284847,0.05603649015339329,0.055730784249341414,0.05806456499192958,0.0557755559480857,0.05532135840329466,0.0249584392109945,0.012372802982789644,0.012430530653195326,0.012342274223400729,0.012175156781926155,0.0123184464337045,0.012071713004109252,0.012086596690029872
190,0.03750381764460187,0.04592564096776086,0.04789763383165013,0.045199148805385336,0.04517655960778111,0.046554881325381436,0.04504500977194481,0.044688783006761046,0.02215662656435735,0.011357496148469703,0.011392584841416697,0.011300094574659525,0.011164134114741264,0.011289032213663397,0.011057811395604578,0.01107143980873282
200,0.032389202528217975,0.03805100294727215,0.040251294949424476,0.03782154056603182,0.03803243275196033,0.0388074268311418,0.037860193922899965,0.03758913151253562,0.020255866054521454,0.010391452261078404,0.010432208412487709,0.010340225103166345,0.010222712503250464,0.010333229983669923,0.010125878867643268,0.010137406828208073
210,0.028784117419177302,0.0327167071866985,0.034249440867177405,0.03261855512561129,0.03289961198125568,0.03351218588602356,0.03279457582432821,0.032612095285495024,0.018692710725675243,0.009505235876101081,0.00955636612481603,0.009458891378343437,0.00935729896168791,0.009458365794299595,0.009264895325263978,0.009278071861281378
220,0.026135931270684032,0.02917422808229564,0.0300823067797632,0.029073650373363513,0.0291871206599833,0.02963942507223205,0.029212411896475388,0.02904347346651104,0.017282304872619392,0.008695629267794214,0.008744530906299675,0.00866682735811486,0.00856448571087276,0.00865944002281993,0.00848233059146386,0.00849287609789462
230,0.024106015232434386,0.02637829524928348,0.027187164424702703,0.026340327923401907,0.026543546840397947,0.02688950577668947,0.026481853588644744,0.026383194713695324,0.015965060705630307,0.007976466245495972,0.008004427542753878,0.007933540710903686,0.007846421091478817,0.007932854190541128,0.007768700140914242,0.007779939526875501
240,0.02248478925518871,0.024249481955123553,0.024988187136112283,0.02423496056306218,0.024398593635998944,0.02473963639590293,0.0244225439980279,0.02435208976095371,0.014722649124382148,0.00730871047545345,0.007333405923128589,0.007269300766691522,0.007192062292744605,0.007271756856069844,0.007124069847718517,0.007133113837198168
250,0.021140544050169963,0.022560133152178752,0.023169311770971146,0.02255324029250705,0.022699078946350815,0.022999493281696037,0.02274258202687085,0.022682917990037632,0.013550366965453198,0.006708431872947007,0.006728394669646032,0.00667154312424989,0.006602820083899452,0.006675113493085805,0.006546325008372267,0.006551008961714011
260,0.019989001195977907,0.021167591519835938,0.021689272986983088,0.02117043359364712,0.021335345592340516,0.021590331013203623,0.021357431026385543,0.021298396857861057,0.012447915875460569,0.006171515770055924,0.006185876759704723,0.0061415872526179305,0.0060773554515198835,0.006140055041639281,0.006025999144179228,0.006030422824008896
270,0.018975208336700966,0.020069240602867966,0.020474573296732634,0.019990504944855214,0.020157379716710055,0.020400697603604856,0.020163989359302636,0.020134690043705605,0.011416195372961568,0.005710512181715144,0.005701951342830136,0.005664114829714517,0.005608563784375131,0.005666084694515239,0.0055634566594434665,0.005567452587339372
280,0.018202176279757953,0.019018316461873352,0.019430236502933518,0.01893551533877269,0.01914491276507413,0.019344966692123267,0.01913441452020448,0.019099116632133373,0.010456099250391704,0.005283798956463359,0.005272435215298521,0.005241132520169223,0.005194211639431345,0.0052433388297936645,0.005153703409962018,0.005156710599170333
290,0.017354462051690556,0.018077748672204796,0.01846150209814601,0.017998136306467183,0.01821245066410515,0.018397863636471223,0.018200082310507404,0.018169695346320736,0.009568018488606223,0.0049082561218012355,0.004892977597397152,0.004870273260247915,0.004828382635134076,0.004871206251287563,0.004792717026978366,0.004795916350375906
300,0.016569013959925383,0.017220298643047416,0.01760154183058249,0.017149604043298128,0.017377770741921372,0.01754642210944113,0.017339852994499694,0.017338347293989642,0.008751627229045877,0.004578762368189437,0.004566326109308405,0.004545500342327813,0.004505065605442393,0.0045432552026716255,0.004475726960268878,0.004478032564479317
